"You have revoked the customer's WebAPI tokens.","顧客のWebAPIトークンはすべて無効化されました。"
"Disable Customer","顧客を無効化"
"Customers are not disabled by default<br />To force a customer to logout now, use the `Disable -> Save -> Enable -> Save` trick","既定では顧客は有効になっています。<br />ヒント: 顧客を今すぐログアウトさせるには、`無効 -> 保存 -> 有効 -> 保存`の順に操作してください"
"<a href=""https://www.wubinworks.com/disable-customer.html"" target=""_blank"" rel=""noreferrer"">More help</a>","<a href=""https://www.wubinworks.com/disable-customer.html"" target=""_blank"" rel=""noreferrer"">詳細ヘルプ</a>"
"Default Disabled Customer Message","無効化された顧客に表示する既定メッセージ"
"Fallback message when `Disabled Customer Message` is not set for the customer in customer editing page","顧客編集画面の`無効化された顧客に表示するメッセージ`を空欄にすると、このメッセージがフォールバックとして使われます"
"Disable Login, Password Reset and Email Confirmation<br />Instantly terminate exsisting logged in session and revoke WebAPI tokens","ログイン、パスワードリセット、メールでのアカウント確認を無効にする<br />ログイン中の顧客は直ちにログアウトさせられます。WebAPIトークンもすべて無効化されます"
"Displays when disabled customer trys to perform the above actions with correct credential<br />Fallback to `Default Disabled Customer Message` in Store Configuration if empty","無効化された顧客が上記の操作をする時に表示するメッセージ(正しいログイン情報を使った場合のみ)<br />空欄にすると、ストア設定の`無効化された顧客に表示する既定メッセージ`にフォールバック"
"Disabled Customer Message","無効化された顧客に表示するメッセージ"
"Your account has been disabled. Please contact the store owner.","このアカウントは無効化されました。お問い合わせください。"
"Version","バージョン"
